dataset,participant,task,step_size,ablation,landmarks,RMSD,mean_motion,std_motion,mean_T2,std_T2,warnings,UCL
Assembly,S02,LGI_posture.csv,1,full,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32]",0.622529076947119,0.6848783625131766,0.622529076947119,98.90900736147192,104.18423065585492,253,137.33281664542014
Assembly,S02,LGI_posture.csv,1,hands_only,"[15, 16, 17, 18, 19, 20, 21, 22]",0.2203437426885182,0.18797265075473912,0.2203437426885182,23.97794117647161,56.540715878350426,136,37.48858892319352
Assembly,S02,LGI_posture.csv,1,upper_body,"[11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]",0.26472764797729237,0.24184409237572335,0.26472764797729237,35.96691176470651,67.37771967337694,164,53.1688812720796
Assembly,S02,LGI_posture.csv,1,lower_body,"[23, 24, 25, 26, 27, 28, 29, 30, 31, 32]",0.3184467762369513,0.2568422833174515,0.3184467762369513,29.972426470593867,49.29919197807506,205,45.349323984599636
Assembly,S02,LGI_posture.csv,2,full,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32]",0.8781991762384619,1.0640977890682688,0.8781991762384619,98.90892366315711,88.06977553454084,234,137.34723528764462
Assembly,S02,LGI_posture.csv,2,hands_only,"[15, 16, 17, 18, 19, 20, 21, 22]",0.30635979826777593,0.2967977319625619,0.30635979826777593,23.97792088316803,46.15596484261838,146,37.48960403626438
Assembly,S02,LGI_posture.csv,2,upper_body,"[11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]",0.37060795175193945,0.38527622746433304,0.37060795175193945,35.9668813247485,54.91359181878407,180,53.17095894816707
Assembly,S02,LGI_posture.csv,2,lower_body,"[23, 24, 25, 26, 27, 28, 29, 30, 31, 32]",0.4287138041054201,0.3776773619101917,0.4287138041054201,29.972401103933986,41.974036719758914,207,45.35082372681991
Assembly,S02,LGI_posture.csv,4,full,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32]",1.206317914313355,1.6196111455947941,1.206317914313355,98.9087558131712,75.3653218742537,232,137.37616115848394
Assembly,S02,LGI_posture.csv,4,hands_only,"[15, 16, 17, 18, 19, 20, 21, 22]",0.4180802518109234,0.45943868989691977,0.4180802518109234,23.977880184331287,37.00221783400575,162,37.49164003228028
