dataset,participant,task,step_size,ablation,landmarks,RMSD,mean_motion,std_motion,mean_T2,std_T2,warnings,UCL
G-AI-HMS,S01,task_8.csv,1,full,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32]",0.9055394329550284,0.9863663449836532,0.9055394329550284,98.91977309298126,98.28734452918152,297,135.50262678513417
G-AI-HMS,S01,task_8.csv,1,hands_only,"[15, 16, 17, 18, 19, 20, 21, 22]",0.24012302060591662,0.30181148728667995,0.24012302060591662,23.980551053474375,28.62253512890655,248,37.35846843293244
G-AI-HMS,S01,task_8.csv,1,upper_body,"[11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]",0.3201462385075561,0.39236724456601657,0.3201462385075561,35.97082658018198,37.26753341206325,282,52.90295947448455
G-AI-HMS,S01,task_8.csv,1,lower_body,"[23, 24, 25, 26, 27, 28, 29, 30, 31, 32]",0.3621778557547824,0.32422122072529763,0.3621778557547824,29.97568881687691,37.06876876600349,275,45.15722686016667
G-AI-HMS,S01,task_8.csv,2,full,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32]",1.0371406109578827,1.2102894296310085,1.0371406109578827,98.91970802427369,91.31059362957555,306,135.51354598223196
G-AI-HMS,S01,task_8.csv,2,hands_only,"[15, 16, 17, 18, 19, 20, 21, 22]",0.2652583523044887,0.36314099856729815,0.2652583523044887,23.98053527979475,25.814483408689437,235,37.35925229969161
G-AI-HMS,S01,task_8.csv,2,upper_body,"[11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]",0.3554770330346139,0.4742648860037356,0.3554770330346139,35.97080291967484,33.744542729856,272,52.90455904800508
G-AI-HMS,S01,task_8.csv,2,lower_body,"[23, 24, 25, 26, 27, 28, 29, 30, 31, 32]",0.42223094260868815,0.3980451798806362,0.42223094260868815,29.97566909976619,33.2195001291343,286,45.158383224886244
G-AI-HMS,S01,task_8.csv,4,full,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32]",1.1403753360564302,1.4200894227383472,1.1403753360564302,98.91957758790863,86.96826365320923,293,135.5354427406345
G-AI-HMS,S01,task_8.csv,4,hands_only,"[15, 16, 17, 18, 19, 20, 21, 22]",0.2835670798858426,0.42789112278240665,0.2835670798858426,23.980503655555538,24.775813337812952,226,37.36082394735881
