,dataset,participant,task,step_size,ablation,landmarks,RMSD,mean_motion,std_motion,mean_T2,std_T2,warnings,UCL,task_code,Timestamp,Participant Number (Experimenter Only),"Kind of Experiment  (SUI, LGP, etc.) (Experimenter Only)",Mental Demand ,Physical Demand ,Temporal Demand ,Performance,Effort,Frustration ,average
0,Assembly,S02,LGI_posture.csv,1,full,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32]",0.622529077,0.684878363,0.622529077,98.90900736,104.1842307,253,137.3328166,LGI,2023/07/26 2:42:35 PM MDT,S02,LGI,40,100,20,10,50,10,38.33333333
1,Assembly,S02,LGI_posture.csv,1,hands_only,"[15, 16, 17, 18, 19, 20, 21, 22]",0.220343743,0.187972651,0.220343743,23.97794118,56.54071588,136,37.48858892,LGI,2023/07/26 2:42:35 PM MDT,S02,LGI,40,100,20,10,50,10,38.33333333
2,Assembly,S02,LGI_posture.csv,1,upper_body,"[11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]",0.264727648,0.241844092,0.264727648,35.96691176,67.37771967,164,53.16888127,LGI,2023/07/26 2:42:35 PM MDT,S02,LGI,40,100,20,10,50,10,38.33333333
3,Assembly,S02,LGI_posture.csv,1,lower_body,"[23, 24, 25, 26, 27, 28, 29, 30, 31, 32]",0.318446776,0.256842283,0.318446776,29.97242647,49.29919198,205,45.34932398,LGI,2023/07/26 2:42:35 PM MDT,S02,LGI,40,100,20,10,50,10,38.33333333
4,Assembly,S02,LGI_posture.csv,2,full,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32]",0.878199176,1.064097789,0.878199176,98.90892366,88.06977553,234,137.3472353,LGI,2023/07/26 2:42:35 PM MDT,S02,LGI,40,100,20,10,50,10,38.33333333
5,Assembly,S02,LGI_posture.csv,2,hands_only,"[15, 16, 17, 18, 19, 20, 21, 22]",0.306359798,0.296797732,0.306359798,23.97792088,46.15596484,146,37.48960404,LGI,2023/07/26 2:42:35 PM MDT,S02,LGI,40,100,20,10,50,10,38.33333333
6,Assembly,S02,LGI_posture.csv,2,upper_body,"[11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]",0.370607952,0.385276227,0.370607952,35.96688132,54.91359182,180,53.17095895,LGI,2023/07/26 2:42:35 PM MDT,S02,LGI,40,100,20,10,50,10,38.33333333
7,Assembly,S02,LGI_posture.csv,2,lower_body,"[23, 24, 25, 26, 27, 28, 29, 30, 31, 32]",0.428713804,0.377677362,0.428713804,29.9724011,41.97403672,207,45.35082373,LGI,2023/07/26 2:42:35 PM MDT,S02,LGI,40,100,20,10,50,10,38.33333333
8,Assembly,S02,LGI_posture.csv,4,full,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32]",1.206317914,1.619611146,1.206317914,98.90875581,75.36532187,232,137.3761612,LGI,2023/07/26 2:42:35 PM MDT,S02,LGI,40,100,20,10,50,10,38.33333333
9,Assembly,S02,LGI_posture.csv,4,hands_only,"[15, 16, 17, 18, 19, 20, 21, 22]",0.418080252,0.45943869,0.418080252,23.97788018,37.00221783,162,37.49164003,LGI,2023/07/26 2:42:35 PM MDT,S02,LGI,40,100,20,10,50,10,38.33333333
