dataset,participant,task,step_size,ablation,landmarks,RMSD,mean_motion,std_motion,mean_T2,std_T2,warnings,UCL
UCF Sports Action,S05,Golf-Swing-Side.csv,1,full,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32]",1.5637761413729452,3.4650522917726003,1.5637761413729452,49.381605503683,63.33486334998941,0,
UCF Sports Action,S05,Golf-Swing-Side.csv,1,hands_only,"[15, 16, 17, 18, 19, 20, 21, 22]",0.9196978402717143,1.448727961624824,0.9196978402717143,23.48936170207428,9.400565906958363,0,98.28812322971802
UCF Sports Action,S05,Golf-Swing-Side.csv,1,upper_body,"[11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]",1.0392080133961838,1.881277442607019,1.0392080133961838,35.234042552298305,5.636463042403172,0,391.17136692346867
UCF Sports Action,S05,Golf-Swing-Side.csv,1,lower_body,"[23, 24, 25, 26, 27, 28, 29, 30, 31, 32]",0.32566337031817044,0.5157404041274894,0.32566337031817044,29.36170212750655,7.390227797329683,0,178.05281838394492
UCF Sports Action,S05,Golf-Swing-Side.csv,2,full,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32]",1.8119446981264389,3.8073238425715004,1.8119446981264389,40.637791749124844,110.54789341202166,0,
UCF Sports Action,S05,Golf-Swing-Side.csv,2,hands_only,"[15, 16, 17, 18, 19, 20, 21, 22]",0.9371252026968344,1.467097379257358,0.9371252026968344,23.478260869507952,9.88699999801787,0,101.7366081692938
UCF Sports Action,S05,Golf-Swing-Side.csv,2,upper_body,"[11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]",1.1220673101543317,1.9364115809257971,1.1220673101543317,35.21739130309391,4.79478476008414,0,442.5835793279833
UCF Sports Action,S05,Golf-Swing-Side.csv,2,lower_body,"[23, 24, 25, 26, 27, 28, 29, 30, 31, 32]",0.34850722771046544,0.582337119875984,0.34850722771046544,29.347826087201152,6.009377419039786,0,189.12935673711334
UCF Sports Action,S05,Golf-Swing-Side.csv,4,full,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32]",2.4435672414666243,4.738313337146068,2.4435672414666243,39.5295599999952,22.185927596993302,0,
UCF Sports Action,S05,Golf-Swing-Side.csv,4,hands_only,"[15, 16, 17, 18, 19, 20, 21, 22]",1.2537312193041354,1.9200334900433758,1.2537312193041354,23.45454545464412,7.303780408831016,0,109.89676212951514
UCF Sports Action,S05,Golf-Swing-Side.csv,4,upper_body,"[11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]",1.5372712563155577,2.5184387530916696,1.5372712563155577,35.18181818208728,3.5624816106298187,0,604.5931486872181
UCF Sports Action,S05,Golf-Swing-Side.csv,4,lower_body,"[23, 24, 25, 26, 27, 28, 29, 30, 31, 32]",0.47901401017401724,0.7415071966165321,0.47901401017401724,29.318181817045968,4.923170488323164,0,217.5185346986139
UCF Sports Action,S05,Walk-Front.csv,1,full,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32]",1.993575815399044,2.214788310819446,1.993575815399044,7.294265119248934,36.47194402464849,0,
UCF Sports Action,S05,Walk-Front.csv,1,hands_only,"[15, 16, 17, 18, 19, 20, 21, 22]",0.35944657534890695,0.5285052580483257,0.35944657534890695,23.45806341949557,129.52616870451186,0,
UCF Sports Action,S05,Walk-Front.csv,1,upper_body,"[11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]",0.6333215769277336,0.7808309242849201,0.6333215769277336,61.86821177445828,101.56912055400173,0,
UCF Sports Action,S05,Walk-Front.csv,1,lower_body,"[23, 24, 25, 26, 27, 28, 29, 30, 31, 32]",0.33904540577299086,0.5300446484989801,0.33904540577299086,20.946872012114515,54.037895979101435,0,
UCF Sports Action,S05,Walk-Front.csv,2,full,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32]",1.4620792662939484,2.6189615995942703,1.4620792662939484,22.363010552358922,22.801181555785554,0,
UCF Sports Action,S05,Walk-Front.csv,2,hands_only,"[15, 16, 17, 18, 19, 20, 21, 22]",0.30478522607753034,0.645871889854762,0.30478522607753034,17.09428536683108,33.50138346747211,0,
UCF Sports Action,S05,Walk-Front.csv,2,upper_body,"[11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]",0.47788881497774816,0.9262641081659662,0.47788881497774816,9.777235323595992,11.36151169673726,0,
UCF Sports Action,S05,Walk-Front.csv,4,full,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32]",1.1130077070469129,3.763002245255042,1.1130077070469129,-15.342974770696456,393.2452299801963,0,
UCF Sports Action,S05,Walk-Front.csv,4,hands_only,"[15, 16, 17, 18, 19, 20, 21, 22]",0.2927634012248377,0.9052535813761778,0.2927634012248377,10.80106879915446,5.658716686680034,0,
UCF Sports Action,S05,Walk-Front.csv,4,upper_body,"[11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]",0.44071602304734836,1.3422542394514558,0.44071602304734836,4.907020844034507,45.6339439845429,0,
UCF Sports Action,S05,Walk-Front.csv,4,lower_body,"[23, 24, 25, 26, 27, 28, 29, 30, 31, 32]",0.2990334716208272,1.0453004351149455,0.2990334716208272,14.378281275632185,28.610923951570413,0,
UCF Sports Action,S05,Swing-Bench.csv,1,full,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32]",1.8306795671474605,4.195154243606484,1.8306795671474605,32.64246819085733,83.80287929220125,0,
UCF Sports Action,S05,Swing-Bench.csv,1,hands_only,"[15, 16, 17, 18, 19, 20, 21, 22]",0.4168856163892416,0.8204690613546924,0.4168856163892416,23.510204081728954,8.306715593562272,0,92.36245267115562
UCF Sports Action,S05,Swing-Bench.csv,1,upper_body,"[11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]",0.5741167411918738,1.2017727914991319,0.5741167411918738,35.26530612279693,6.0038912182364434,0,319.1577481771845
UCF Sports Action,S05,Swing-Bench.csv,1,lower_body,"[23, 24, 25, 26, 27, 28, 29, 30, 31, 32]",1.1178624059051965,1.7013833365327866,1.1178624059051965,29.38775510187037,7.671746199148747,0,160.17764083682852
UCF Sports Action,S05,Swing-Bench.csv,2,full,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32]",2.66744723942779,6.3781823726513664,2.66744723942779,92.40545985041537,424.8725562906698,0,
UCF Sports Action,S05,Swing-Bench.csv,2,hands_only,"[15, 16, 17, 18, 19, 20, 21, 22]",0.7182317852973706,1.2608856340857886,0.7182317852973706,23.500000000134435,6.582281275106628,0,95.17913096315789
UCF Sports Action,S05,Swing-Bench.csv,2,upper_body,"[11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]",1.0166014641914782,1.8788845850761973,1.0166014641914782,35.25000000052422,4.622102854002224,0,351.13355959753466
UCF Sports Action,S05,Swing-Bench.csv,2,lower_body,"[23, 24, 25, 26, 27, 28, 29, 30, 31, 32]",1.349499576808731,2.446057608365359,1.349499576808731,29.375000000938815,5.310412489650937,0,168.49829785222263
UCF Sports Action,S05,Swing-Bench.csv,4,full,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32]",4.650128737338429,9.835605018169652,4.650128737338429,176.54825805311552,375.74528452289695,0,
UCF Sports Action,S05,Swing-Bench.csv,4,hands_only,"[15, 16, 17, 18, 19, 20, 21, 22]",1.2141118681226595,1.996040986440859,1.2141118681226595,23.47826086912909,5.98878818281239,0,101.7366081692938
UCF Sports Action,S05,Swing-Bench.csv,4,upper_body,"[11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]",1.7674353271672687,2.9987885928373412,1.7674353271672687,35.21739130448175,3.55389916767803,0,442.5835793279833
UCF Sports Action,S05,Swing-Bench.csv,4,lower_body,"[23, 24, 25, 26, 27, 28, 29, 30, 31, 32]",1.7663862946800004,3.6194323765274588,1.7663862946800004,29.347826088493388,3.824945169166098,0,189.12935673711334
